,Name,Team,Minutes Played,PER
627,Andrew Wiggins,GSW,403,17.5
628,Grant Williams,BOS,970,8.0
629,Johnathan Williams,WAS,135,14.4
630,Kenrich Williams,NOP,779,7.6
631,Lou Williams,LAC,1757,17.2
632,,,,
633,Marvin Williams,TOT,1011,11.4
634,Marvin Williams,CHO,808,11.8
635,Marvin Williams,MIL,203,9.7
636,Robert Williams,BOS,323,19.6
637,Nigel Williams-Goss,UTA,28,5.7
638,Zion Williamson,NOP,565,24.2
639,D.J. Wilson,MIL,280,8.4
640,Justise Winslow,MIA,352,8.6
641,Christian Wood,DET,1325,23.2
642,Delon Wright,DAL,1412,16.1
643,Justin Wright-Foreman,UTA,2,0.0
644,Thaddeus Young,CHI,1591,13.3
645,Trae Young,ATL,2120,23.9
646,Cody Zeller,CHO,1341,18.8
647,Ante Žižić,CLE,221,16.4
648,Ivica Zubac,LAC,1156,21.0
